owner_repo,repository,language,topics,stars,forks,watchers,contributors,commits,first_commit,last_commit,pull_requests,issues,created_at,pushed_at,license,archived,disabled
Eeems-Org/oxide,oxide,C++,remarkable-tablet,264,23,5,23,447,2019-09-14 16:57:43-06:00,2025-04-22 19:17:44-06:00,140,203,2020-08-30T21:41:02Z,2025-06-27T00:30:02Z,MIT License,False,False
firebase/snippets-web,snippets-web,JavaScript,,778,264,95,46,300,2017-06-21 16:28:53+00:00,2025-02-06 15:39:06-08:00,249,64,2017-06-27T21:41:51Z,2025-07-09T08:48:22Z,Apache License 2.0,False,False
vazco/uniforms,uniforms,TypeScript,"component-library, components, form-builder, form-controls, forms, hacktoberfest, meteor, react, react-components, react-library",2041,250,29,83,1735,2016-05-10 15:13:25+02:00,2025-04-09 09:12:26+02:00,497,786,2016-05-10T13:08:50Z,2025-04-09T07:17:10Z,MIT License,False,False
Khan/math-input,math-input,JavaScript,,225,64,78,23,397,2016-04-19 20:32:08-07:00,2022-05-04 11:44:41-07:00,66,23,2016-04-20T03:32:52Z,2022-05-04T18:44:41Z,MIT License,True,False
aws/aws-node-termination-handler,aws-node-termination-handler,Go,"aws-ec2, eks, golang, kubernetes, maintenance-events, spot-instances",1697,275,19,107,641,2019-09-04 18:02:39+00:00,2025-04-28 12:47:32-07:00,827,299,2019-10-21T17:57:15Z,2025-06-30T22:43:53Z,Apache License 2.0,False,False
grame-cncm/faust,faust,C++,"audio, c, c-plus-plus, cmajor, compiler, cpp, csharp, dlang, dsp, faust, functional-programming, jax, jsfx, julia, julia-language, llvm, rnbo, rust, wasm",2782,353,87,191,13876,2004-04-27 15:20:07+00:00,2025-05-14 23:06:20+02:00,452,444,2016-11-05T13:09:11Z,2025-07-08T15:25:48Z,Other,False,False
remap-keys/remap,remap,TypeScript,"keyboard, qmk-firmware, remap, web-serial-api, webhid-api, webusb-api",258,36,3,17,2052,2020-12-14 19:14:58+09:00,2025-05-14 07:32:13+00:00,551,299,2020-12-14T10:06:03Z,2025-07-03T07:41:15Z,Other,False,False
moleculerjs/moleculer,moleculer,JavaScript,"distributed-systems, microservice, microservice-framework, microservices, moleculer, nodejs",6293,593,123,166,4280,2016-12-09 21:26:28+01:00,2025-02-03 18:53:03+01:00,515,644,2017-02-17T11:11:35Z,2025-06-25T13:17:03Z,MIT License,False,False
HSLdevcom/digitransit-ui,digitransit-ui,JavaScript,digitransit,248,137,21,125,25073,2015-03-26 10:38:16+02:00,2025-05-15 15:19:37+03:00,5054,237,2015-03-26T08:38:16Z,2025-07-09T13:23:30Z,Other,False,False
Azure/static-web-apps-cli,static-web-apps-cli,TypeScript,"authentication, azure, azure-functions, cli, serverless, static, swa, swa-emulator, web, webapp",634,134,18,72,1139,2020-06-26 22:53:19+02:00,2025-04-29 14:17:14+08:00,522,284,2020-06-26T20:48:08Z,2025-05-13T14:25:40Z,MIT License,False,False
jsdelivr/bootstrapcdn,bootstrapcdn,JavaScript,"bootlint, bootstrap, bootstrap4, bootstrapcdn, bootswatch, bootswatch-theme, cdn, font, font-awesome, fontawesome, fontawesome4, fontawsome, javascript, jsdelivr, stackpath, stylesheet, theme",1366,263,64,58,3330,2012-06-08 18:55:30-07:00,2024-10-03 11:25:29+02:00,1331,462,2012-06-09T01:55:30Z,2024-10-03T09:25:29Z,MIT License,False,False
carbon-design-system/gatsby-theme-carbon,gatsby-theme-carbon,MDX,"carbon, gatsby, gatsby-theme-carbon, hacktoberfest",363,278,17,81,1840,2019-04-10 16:14:12-05:00,2025-05-07 14:52:39-04:00,931,561,2019-04-12T18:18:58Z,2025-07-02T15:40:27Z,Apache License 2.0,False,False
listen1/listen1_chrome_extension,listen1_chrome_extension,JavaScript,"chrome-extension, music-player",11793,2042,231,51,532,2016-04-30 14:42:45+08:00,2025-04-07 00:14:58+08:00,334,445,2016-04-30T06:40:37Z,2025-06-17T13:15:48Z,MIT License,False,False
dev-launchers/dev-launchers-platform,dev-launchers-platform,JavaScript,"docker, hacktoberfest, monorepo, nextjs, storybook, typescript, yarn-workspaces",42,32,18,118,4591,2020-01-03 22:54:21-06:00,2025-05-15 10:47:55-05:00,1169,757,2019-12-03T03:45:06Z,2025-07-09T03:37:19Z,GNU General Public License v3.0,False,False
brndnmtthws/conky,conky,C++,"c-plus-plus, cairo, conky, imlib2, linux, lua, system-monitoring, wayland",7794,634,171,259,4503,2005-07-20 00:30:40+00:00,2025-05-11 15:11:39+02:00,1070,900,2012-12-26T19:50:17Z,2025-07-07T19:51:13Z,GNU General Public License v3.0,False,False
theforeman/foreman_ansible,foreman_ansible,JavaScript,"ansible, foreman, hacktoberfest",213,113,21,91,759,2015-10-24 18:04:13+02:00,2025-05-07 08:48:14+02:00,717,0,2015-10-24T15:53:48Z,2025-06-24T10:26:43Z,GNU General Public License v3.0,False,False
Ocramius/GeneratedHydrator,GeneratedHydrator,PHP,,726,68,27,34,1654,2013-03-19 10:42:39+01:00,2024-01-09 11:04:30+01:00,606,31,2013-07-11T19:16:40Z,2025-02-19T12:34:18Z,MIT License,True,False
